read_order;title;author_first_name;author_last_name;pages;format;month_read;year_publ;book_id
1;Тінь над Карпатами;Яна;Леон;200;Ebook;January;2025;1
2;Сокиризада;Едвард;Стахура;244;Audio;January;1971;2
3;Моя неймовірна подруга;Елена;Ферранте;352;Audio;January;2011;3
4;Будинок на вулиці Тредд;Карен;Уайт;432;Ebook;January;2020;4
5;Оману співаємо морю;Сара;Андервуд;496;Ebook;January;2025;5
6;Ожинове вино;Джоан;Гарріс;384;Audio;January;2021;6
7;Прислухайся до брехні;Емі;Тінтера;400;Ebook;January;2024;7
8;Тисяча осяйних сонць;Халед;Госсейні;512;Ebook;January;2007;8
9;Лицар літа;Джим;Бутчер;568;Audio;January;2002;9
10;Маски смерті;Джим;Бутчер;568;Audio;February;2003;10
11;Дім без спогадів;Донато;Каррізі;352;Ebook;February;2024;11
12;Морська зірка;Пітер;Воттс;408;Audio;February;1999;12
13;Як розкрити власне вбивство;Крістен;Перрін;432;Ebook;February;2025;13
14;Після падіння;Денніс;Лігейн;416;Audio;February;2021;14
15;Княгиня пітьми;Мар'яна;Копачинська;456;Ebook;March;2025;15
16;Про мишей і людей;Джон;Стейнбек;128;Ebook;March;1937;16
17;Глиняний міст;Маркус;Зузак;656;Print;March;2018;17
18;Вісім ідеальних вбивств;Пітер;Свонсон;352;Ebook;March;2025;18
19;Нормальні люди;Саллі;Руні;312;Print;March;2018;19
20;Якщо це станеться;Ребекка;Яррос;432;Ebook;March;2025;20
21;Батьківщина;Роберт;Сальваторе;352;Audio;March;1990;21
22;Вигнання;Роберт;Сальваторе;352;Audio;April;1990;22
23;Кістки і зоряний пил;Редгрейн;Лебовські;320;Print;April;2021;23
24;Незавершені справи;Ребекка;Яррос;528;Ebook;April;2024;24
25;Сталь і сонячний шторм;Редгрейн;Лебовські;336;Print;April;2018;25
26;Попіл і місячне сяйво;Редгрейн;Лебовські;496;Print;April;2023;26
27;Думай як Шерлок Голмс;Карло;Карзан;96;Print;May;2019;27
28;Новий дім;Роберт;Сальваторе;352;Audio;May;1991;28
29;Втеча з табору;Блейн;Гарден;320;Print;May;2024;29
30;Усі в моїй родині - вбивці;Бенджамін;Стівенсон;384;Ebook;May;2023;30
31;Сад метеликів;Дот;Хатчисон;384;Ebook;May;2016;31
32;Кришталевий уламок;Роберт;Сальваторе;352;Audio;May;1988;32
33;Зубри;Катерина;Зінов'єва;312;Print;May;2026;33
34;Усі в цьому поїзді - підозрювані;Бенджамін;Стівенсон;336;Ebook;May;2025;34
35;Срібні ручаї;Роберт;Сальваторе;352;Audio;May;1989;35
36;Коштовність галфлінґа;Роберт;Сальваторе;352;Audio;June;1990;36
37;Душа з попелу та крові;Дженніфер;Арментраут;656;Print;June;2025;37
38;Ідеальний шлюб;Дженева;Роуз;432;Ebook;June;2026;38
39;Криваві ритуали;Джим;Бутчер;416;Audio;June;2004;39
40;Вогонь у плоті;Дженніфер;Арментраут;656;Print;June;2025;40
41;Історія нового імені;Елена;Ферранте;480;Audio;June;2012;41
42;Історія та повернення;Елена;Ферранте;448;Audio;June;2013;42
43;Як убити свого боса. Посібник Мак-Мастера для вбивць.;Руперт;Голмс;544;Ebook;June;2025;43
44;Спадщина;Роберт;Сальваторе;352;Audio;June;1992;44
45;Мандрівка слона;Жозе;Сарамаґо;256;Audio;June;2008;45